1607," $ 6,400,000 ",5-feb.,anticipo op#1059 hikton etapa 2 minima ,trabnsferencia william compra soat nbt 394," $ 6,000 ",financiero,10-Feb,
,,,,POLIZA SOAT 394," $ 1,269,000 ",TRANSPORTE,10-Feb,
,,,,CONSIGACION JHONY CAJKA MENOR, $ 800 ,financiero,10-Feb,
,,,,cuota manejo tarjeta debito," $ 17,068 ",financiero,10-Feb,
,,,reembolso lopez,EXTENSION," $ 5,000 ",produccion,14-Dec, OP # 1003 
,,,reembolso lopez,COPA SIERRA," $ 5,500 ",produccion,27-Dec, OP # 1051 
,,,reembolso lopez,AEROSOL," $ 30,900 ",produccion,7-Jan, OP # 1051 
,,,reembolso lopez,THINNER Y VARSOL," $ 12,500 ",produccion,10-Jan, OP # 1025 
,,,reembolso lopez,PEGANTE Y CINTA DE ENMASCARAR," $ 9,500 ",produccion,14-Jan, OP # 1025 
,,,reembolso lopez,CINTA DE ENMASCARAR," $ 5,000 ",produccion,27-Jan, OP # 1025 
,,,reembolso lopez,PASAJES VISITA OBRA," $ 7,000 ",produccion,30-Jan, OP # 1055 
,,,reembolso lopez,PASAJES VISITA OBRA FARMATODO," $ 7,000 ",TRANSPORTE,31-Jan, OFICINA 
,,,reembolso lopez,BALA HALOGENA DE 3W," $ 11,000 ",produccion,6-Feb, OP # 1056 
,,,reembolso lopez,"PEGANTE, RESALTADOR, CARPETA Y CLIP"," $ 15,200 ",insumos,6-Feb, OFICINA 
,,,reembolso lopez,RESMA PAPEL CARTA 3 UND," $ 41,700 ",insumos,6-Feb, OFICINA 
,,,reembolso lopez,PASAJES VISITA OBRA," $ 28,000 ",produccion,7-Feb, OP # 1060 
,,,reembolso lopez,"LIJA 1/2 CAÑA BASTARDA DE 8"""," $ 15,900 ",insumos,8-Feb, PLANTA 
,,,reembolso lopez,AFILADO DE DISCOS," $ 24,000 ",insumos,10-Feb, PLANTA 
,,,,CITA ABOGADO MOSQUERA OSCAR," $ 18,600 ",TRANSPORTE,13-Feb,
,,,,PEAJE MOSQUERA CITA ABOGADO," $ 17,600 ",TRANSPORTE,13-Feb,
,,,,4*1000 PAGO REINTEGO DE CAJA MENOR JEFFERSON ROJAS, $ 512 ,FINANCIERO,11-Feb,
,,,,PAGO POLIZA TERRANUM PEDIDO N 4800029247 TK 15289 -MOBILIARIO LONCHERA," $ 374,813 ",ADMINISTRATIVO,11-Feb,
,,,CAJA MENOR JEFFERSON,GASOLINA PLANTA A CONNECTA," $ 6,000 ",produccion,13-Jan,
,,,CAJA MENOR JEFFERSON,IMPRESIONES," $ 11,800 ",produccion,16-Jan,
,,,CAJA MENOR JEFFERSON,COPIAS," $ 10,400 ",produccion,17-Jan,
,,,CAJA MENOR JEFFERSON,GASOLINA C.C. TERREROS A CONECCTA ," $ 6,000 ",produccion,17-Jan,
,,,CAJA MENOR JEFFERSON,CARGADOR PORTATIL ASUS," $ 70,000 ",produccion,2-Feb,
,,,CAJA MENOR JEFFERSON,IMPRESIONES Y FORMATOS CORTE," $ 7,200 ",produccion,7-Feb,
,,,CAJA MENOR JEFFERSON,GASOLINA FUC A CALLE 94," $ 6,000 ",produccion,7-Feb,
,,,CAJA MENOR JEFFERSON,GASOLINA CONNECTA A FUC," $ 6,000 ",produccion,7-Feb,
,,,CAJA MENOR JEFFERSON,PARQUEADERO," $ 4,500 ",produccion,7-Feb,
